Cantón ;Años;Indice_año_escolaridad;Años_esperados_escolaridad;ingreso_promedio_año_estimados
Osa;2012;0,413021764;0,848769211;275790,3831
;2013;0,411687949;0,858347843;304298,5172
;2014;0,409104113;0,867926476;319602,8187
;2015;0,406534426;0,877505108;323674,7099
;2016;0,405427378;0,88708374;340359,9711
;2017;0,40324992;0,896662373;313957,2054
;2018;0,399965765;0,906241005;336761,4955
;2019;0,396937312;0,915819637;341787,7675
;2020;0,394004943;0,92539827;339245,1154
;2021;0,393416985;0,934976902;329129
;2022;0,392473945;0,944555534;339051,7489
